MOTIVO_VIAJE_KEY,ID,LANGUAGE_KEY,MOTIVO_DES,MOTIVO_PADRE_DES,LOAD_TIME
-3,-3,1,No informado,No informado,
1,299072,1,Turismo de sol y playa,"Ocio, recreo y vacaciones",
2,299073,1,Turismo cultural,"Ocio, recreo y vacaciones",
3,299074,1,Turismo de naturaleza,"Ocio, recreo y vacaciones",
4,299075,1,Turismo gastronómico,"Ocio, recreo y vacaciones",
5,299076,1,Turismo deportivo,"Ocio, recreo y vacaciones",
6,299077,1,Turismo termal y de bienestar,"Ocio, recreo y vacaciones",
7,299078,1,Otro tipo de turismo de ocio,"Ocio, recreo y vacaciones",
8,291886,1,Visitas a familiares o amigos,Visitas a familiares o amigos,
9,299079,1,Turismo de compras,Otros motivos,
10,299080,1,Desplazamiento al centro de estudios habitual,Otros motivos,
11,299081,1,Otros motivos de educación y formación,Otros motivos,
12,304779,1,Tratamiento de salud voluntario,Otros motivos,
13,299082,1,Motivos religiosos o peregrinaciones,Otros motivos,
14,-2,1,Incentivos,Otros motivos,
15,292705,1,Motivo personal,Otros motivos,
16,299084,1,"Congresos, ferias y convenciones",Negocios y Otros motivos profesionales,
17,299085,1,Desplazamiento al centro de trabajo,Negocios y Otros motivos profesionales,
18,299086,1,Otros motivos profesionales,Negocios y Otros motivos profesionales,
19,291885,1,Negocios y otros motivos profesionales,Negocios y Otros motivos profesionales,
20,291884,1,Total,No aplica,
21,292706,1,Motivo profesional,Negocios y Otros motivos profesionales,
22,298454,1,Otros,Otros motivos,
23,299065,1,Salud,Otros motivos,
24,299066,1,Estudios,Otros motivos,
25,303835,1,Otros,Otros motivos,
26,291888,1,Otros,Otros motivos,
27,304778,1,Trabajador estacional temporero,Negocios y Otros motivos profesionales,
28,304780,1,Estudios (educación y formación),Otros motivos,
29,305221,1,Otros,Otros motivos,
30,291887,1,"Ocio, recreo y vacaciones","Ocio, recreo y vacaciones",
31,298421,1,Otros motivos,Otros motivos,
-3,-3,2,Not informed,Not informed,
1,299072,2,Sun and beach tourism,"Leisure, recreation and holidays",
2,299073,2,Cultural tourism,"Leisure, recreation and holidays",
3,299074,2,Nature tourism,"Leisure, recreation and holidays",
4,299075,2,Gastronomic tourism,"Leisure, recreation and holidays",
5,299076,2,Sports tourism,"Leisure, recreation and holidays",
6,299077,2,Thermal and wellness tourism,"Leisure, recreation & holidays",
7,299078,2,Other types of leisure tourism,"Leisure, recreation and holidays",
8,291886,2,Visits to family or friends,Visits to family or friends,
9,299079,2,Shopping tourism,Other reasons,
10,299080,2,Travel to the usual place of study,Other reasons,
11,299081,2,Other education and training reasons,Other reasons,
12,304779,2,Voluntary health treatment,Other reasons,
13,299082,2,Religious reasons or pilgrimages,Other reasons,
14,-2,2,Incentives,Other reasons,
15,292705,2,Personal reasons,Other reasons,
16,299084,2,"Congresses, fairs and conventions",Business and other professional reasons,
17,299085,2,Commuting to work,Business and Other professional reasons,
18,299086,2,Other professional reasons,Business and Other professional reasons,
19,291885,2,Business and other professional reasons,Business and Other professional reasons,
20,291884,2,Total,Not applicable,
21,292706,2,Professional reasons,Business and Other professional reasons,
22,298454,2,Other,Other reasons,
23,299065,2,Health,Other reasons,
24,299066,2,Studies,Other reasons,
25,303835,2,Other,Other reasons,
26,291888,2,Other,Other reasons,
27,304778,2,Seasonal seasonal worker,Business and other professional reasons,
28,304780,2,Studies (education and training),Other reasons,
29,305221,2,Other,Other reasons,
30,291887,2,"Leisure, recreation and holidays","Leisure, recreation and holidays",
31,298421,2,Other reasons,Other reasons,
-3,-3,3,No informat,No informat,
1,299072,3,Turisme de sol i platja,"Oci, esbarjo i vacacions",
2,299073,3,Turisme cultural,"Oci, esbarjo i vacacions",
3,299074,3,Turisme de naturalesa,"Oci, esbarjo i vacacions",
4,299075,3,Turisme gastronòmic,"Oci, esbarjo i vacacions",
5,299076,3,Turisme esportiu,"Oci, esbarjo i vacacions",
6,299077,3,Turisme termal i de benestar,"Oci, esbarjo i vacacions",
7,299078,3,Altre tipus de turisme d'oci,"Oci, esbarjo i vacacions",
8,291886,3,Visites a familiars o amics,Visites a familiars o amics,
9,299079,3,Turisme de compres,Altres motius,
10,299080,3,Desplaçament al centre d'estudis habitual,Altres motius,
11,299081,3,Altres motius d'educació i formació,Altres motius,
12,304779,3,Tractament de salut voluntari,Altres motius,
13,299082,3,Motius religiosos o peregrinacions,Altres motius,
14,-2,3,Incentius,Altres motius,
15,292705,3,Motiu personal,Altres motius,
16,299084,3,"Congressos, fires i convencions",Negocis i Altres motius professionals,
17,299085,3,Desplaçament al centre de treball,Negocis i Altres motius professionals,
18,299086,3,Altres motius professionals,Negocis i Altres motius professionals,
19,291885,3,Negocis i altres motius professionals,Negocis i Altres motius professionals,
20,291884,3,Total,No aplica,
21,292706,3,Motiu professional,Negocis i Altres motius professionals,
22,298454,3,Altres,Altres motius,
23,299065,3,Salut,Altres motius,
24,299066,3,Estudis,Altres motius,
25,303835,3,Altres,Altres motius,
26,291888,3,Altres,Altres motius,
27,304778,3,Treballador estacional temporer,Negocis i Altres motius professionals,
28,304780,3,Estudis (educació i formació),Altres motius,
29,305221,3,Altres,Altres motius,
30,291887,3,"Oci, esbarjo i vacacions","Oci, esbarjo i vacacions",
31,298421,3,Altres motius,Altres motius,
