PROFFESIONAL_STATUS_KEY,LANGUAGE_KEY,PROFFESIONAL_STATUS_DES,LOAD_TIME
-3,1,No Informado,
1,1,"Empresario, profesional o trabajador por cuenta propia que emplea a otras personas",
2,1,"Empresario, profesional o trabajador por cuenta propia que no emplea a otras personas",
3,1,Asalariado o trabajador por cuenta ajena con contrato indefinido,
4,1,Asalariado o trabajador por cuenta ajena con contrato eventual o temporal,
-3,2,Not Informed,
1,2,"Employer, professional or self-employed person employing other persons",
2,2,"Employer, professional or self-employed person not employing other persons",
3,2,Employed person or employee with permanent contract,
4,2,Salaried employee or employee with a casual or temporary contract,
-3,3,No Informat,
1,3,"Empresari, professional o treballador per compte propi que ocupa altres persones",
2,3,"Empresari, professional o treballador per compte propi que no ocupa altres persones",
3,3,Assalariat o treballador per compte d'altri amb contracte indefinit,
4,3,Assalariat o treballador per compte d'altri amb contracte eventual o temporal,
