RELACION_ACTIVIDAD_KEY,ID,LANGUAGE_KEY,ACTIVIDAD_DES,LOAD_TIME
-3,-3,1,No informado,
1,21332,1,Ocupado/a,
2,21335,1,Parados,
3,-2,1,Jubilado,
4,311226,1,Otros inactivos,
5,20279,1,Inactivos,
6,21341,1,Otros inactivos,
7,283949,1,Total,
-3,-3,2,Not informed,
1,21332,2,Employed,
2,21335,2,Unemployed,
3,-2,2,Retired,
4,311226,2,Other inactive,
5,20279,2,Inactive,
6,21341,2,Other inactive,
7,283949,2,Total,
-3,-3,3,No informat,
1,21332,3,Ocupat/a,
2,21335,3,Aturats,
3,-2,3,Jubilat,
4,311226,3,Altres inactius,
5,20279,3,Inactius,
6,21341,3,Altres inactius,
7,283949,3,Total,
