TIPO_ESTABLECIMIENTO_KEY,ID,ID_ETR,NOMBRE,ESTABLECIMIENTO_PADRE_DES,LOAD_TIME
-3,-3,*********,No informado,No informado,
1,292966,1,Hoteles o apartahotel,Hotelero,
2,-2,2,"Pensión, hostal, motel, fonda, casa de huéspedes",Hotelero,
3,292964,3,Vivienda en alquiler,Resto de mercado,
4,-2,4,Habitación en alquiler en vivienda particular,Resto de mercado,
5,-2,5,Alojamiento turismo rural,Resto de mercado,
6,299070,6,Albergue,Resto de mercado,
7,292974,7,Camping,Resto de mercado,
8,-2,8,Crucero,Resto de mercado,
9,292981,9,Resto de mercado,Resto de mercado,
10,292977,10,Vivienda en propiedad,No de mercado,
11,292965,11,Vivienda de familiares o amigos,No de mercado,
12,-2,12,Viviendas de uso compartido (multipropiedad),No de mercado,
13,-2,13,Viviendas intercambiadas,No de mercado,
14,299068,14,Resto de no mercado,No de mercado,
15,284340,-2,Casa Rural,Resto de mercado,
16,284341,-2,Estudio,No aplica,
17,284342,-2,Apartamentos de 2/4 plazas,Resto de mercado,
18,284343,-2,Apartamentos de 4/6 plazas,Resto de mercado,
19,284349,-2,Total apartamentos,Resto de mercado,
20,292960,-2,Albergue juvenil,Resto de mercado,
21,292961,-2,Total,No aplica,
22,292963,-2,No de mercado,No de mercado,
23,298418,-2,Hotelero,Hotelero,
24,298457,-2,De mercado,Hotelero,
25,298458,-2,Resto de no mercado,No de mercado,
26,298482,-2,Resto de mercado,Resto de mercado,
27,299067,-2,Resto de mercado,Resto de mercado,
28,303833,-2,Resto de mercado,Resto de mercado,
29,383096,-2,Peregrinos del Camino de Santiago,Resto de mercado,
30,383097,-2,Albergue turístico,Resto de mercado,
