HOUSING_TYPE_KEY,LANGUAGE_KEY,HOUSING_TYPE_DES
-3,1,No Informado
1,1,De mercado
2,1,No de mercado
3,1,Vivienda en alquiler
4,1,Hotelero
5,1,Vivienda de familiares o amigos
6,1,Vivienda en propiedad
7,1,Todos los alojamientos
8,1,Resto de mercado
9,1,Resto de no mercado
-3,2,Not Informed
1,2,Market
2,2,Non-market
3,2,Rental housing
4,2,Hotel
5,2,Family or friend's home
6,2,Owned housing
7,2,All accommodation
8,2,Rest of market
9,2,Rest of non-market
-3,3,No Informat
1,3,De mercat
2,3,No de mercat
3,3,Vivenda en lloguer
4,3,Hoteler
5,3,Vivenda de familiars o amics
6,3,Vivenda en propietat
7,3,Tots els allotjaments
8,3,Resta de mercat
9,3,Resta de no mercat
